district,flood_count,flood_risk_freq,flood_risk_area,flood_risk
pakur,3.0,0.0129870129870129,0.1619701845615271,0.0875
ahmadabad,0.0,0.0,0.1735605529407598,0.0868
gondia,40.0,0.1731601731601731,0.0,0.0866
lahul and spiti,40.0,0.1731601731601731,0.0,0.0866
kanpur nagar nagar,40.0,0.1731601731601731,0.0,0.0866
ghazipurr,40.0,0.1731601731601731,0.0,0.0866
kra daadi,22.0,0.0952380952380952,0.0778026950778141,0.0865
amreli,39.0,0.1688311688311688,0.0040607176569931,0.0864
chengalpattu,13.0,0.0562770562770562,0.1165234854875395,0.0864
siang,20.0,0.0865800865800865,0.0855095430637705,0.086
south west garo hills,7.0,0.0303030303030303,0.141407954432942,0.0859
sawai madhopur,25.0,0.1082251082251082,0.0630021355957932,0.0856
alipurduar,0.0,0.0,0.1709988121261721,0.0855
barnala,23.0,0.0995670995670995,0.0705775287316651,0.0851
aizawl,19.0,0.0822510822510822,0.0874521651502606,0.0849
bhavnagar,39.0,0.1688311688311688,0.0008174632919262,0.0848
jhalawar,30.0,0.1298701298701298,0.0397991904468583,0.0848
lakshadweep,0.0,0.0,0.1693341883473705,0.0847
udupi,39.0,0.1688311688311688,0.0003210831059019,0.0846
hyderabad,39.0,0.1688311688311688,1.1732022904817956e-05,0.0844
hathras,26.0,0.1125541125541125,0.0562865947558809,0.0844
malda,39.0,0.1688311688311688,0.0,0.0844
anantnag,36.0,0.1558441558441558,0.0128186611348811,0.0843
kalahandi,35.0,0.1515151515151515,0.0168508723549375,0.0842
kakching,4.0,0.0173160173160173,0.1490305302543854,0.0832
lower siang,17.0,0.0735930735930736,0.0919479853955375,0.0828
panipat,20.0,0.0865800865800865,0.0772722403657384,0.0819
sonipat,29.0,0.1255411255411255,0.0383172479887974,0.0819
chikkaballapura,36.0,0.1558441558441558,0.0076822755632168,0.0818
ganderbal,23.0,0.0995670995670995,0.0633111446660634,0.0814
indore,35.0,0.1515151515151515,0.011147593428209,0.0813
kandhamal,32.0,0.1385281385281385,0.0229329198991711,0.0807
faizabad,0.0,0.0,0.161184543777948,0.0806
badgam,0.0,0.0,0.1611278537820382,0.0806
haveri,27.0,0.1168831168831168,0.0440940882692904,0.0805
ariyalur,14.0,0.0606060606060606,0.1000560632477451,0.0803
papum pare,29.0,0.1255411255411255,0.0349404564711319,0.0802
udaipur,37.0,0.1601731601731601,6.605824054589224e-05,0.0801
jabalpur,31.0,0.1341991341991342,0.0258212247440021,0.08
kurnool,34.0,0.1471861471861472,0.0122389529917781,0.0797
lower dibang valley,23.0,0.0995670995670995,0.0591780660230334,0.0794
dhenkanal,28.0,0.1212121212121212,0.0373292735935812,0.0793
tumakuru,36.0,0.1558441558441558,0.0023625799753041,0.0791
pathankot,24.0,0.1038961038961039,0.0536099144662661,0.0788
sangli,32.0,0.1385281385281385,0.0188341699104757,0.0787
reasi,24.0,0.1038961038961039,0.0524538660677323,0.0782
coimbatore,33.0,0.1428571428571428,0.0134128078962218,0.0781
jind,25.0,0.1082251082251082,0.048002239801936,0.0781
east kameng,23.0,0.0995670995670995,0.0561734557266114,0.0779
gangtok,36.0,0.1558441558441558,0.0,0.0779
beedar,36.0,0.1558441558441558,0.0,0.0779
kamle,18.0,0.0779220779220779,0.0777223512124696,0.0778
north,19.0,0.0822510822510822,0.0730434686021947,0.0776
chitradurga,34.0,0.1471861471861472,0.0079129557603167,0.0775
rajouri,33.0,0.1428571428571428,0.0120188532181016,0.0774
doda,33.0,0.1428571428571428,0.0114525010551033,0.0772
south goa,18.0,0.0779220779220779,0.0758857851178182,0.0769
balaghat,25.0,0.1082251082251082,0.0454051010722813,0.0768
gir somnath,33.0,0.1428571428571428,0.0104569312172024,0.0767
